Canal,Enlace,Imagen
ESPN Premium,https://streamtp10.com/global1.php?stream=espnpremium,https://bestleague.world/img/espnpr.webp
ESPN 1,https://streamtp10.com/global1.php?stream=espn,https://bestleague.world/img/espn.webp
ESPN 2,https://streamtp10.com/global1.php?stream=espn2,https://bestleague.world/img/espn2.webp
ESPN 3,https://streamtp10.com/global1.php?stream=espn3,https://bestleague.world/img/espn3.webp
FOX Sports 1,https://streamtp10.com/global1.php?stream=fox1ar,https://bestleague.world/img/foxnew.png
FOX Sports 2,https://streamtp10.com/global1.php?stream=fox2ar,https://bestleague.world/img/foxnew2.png
FOX Sports 3,https://streamtp10.com/global1.php?stream=fox3ar,https://bestleague.world/img/foxnew3.png
TyC Sports,https://streamtp10.com/global1.php?stream=tycsports,https://bestleague.world/img/tyc.webp
DSports Plus,https://streamtp10.com/global1.php?stream=dsportsplus,https://bestleague.world/img/dsportsplus.webp
TNT Sports,https://streamtp10.com/global1.php?stream=tntsports,https://bestleague.world/img/tntar.svg
